pname,runs,fours,six,balls,fifty,hundred,SR,out1,average
V Kohli,439,45,10,317,2,1,138.486,13,33.7692
I Sharma,10,1,1,3,0,0,333.333,1,10
PA Patel,365,47,10,250,2,0,146,13,28.0769
MS Dhoni,416,22,23,298,3,0,139.597,5,83.2
SK Raina,383,45,9,309,3,0,123.948,16,23.9375
PP Chawla,30,3,1,32,0,0,93.75,3,10
Yuvraj Singh,98,7,6,74,1,0,132.432,4,24.5
YK Pathan,40,1,1,44,0,0,90.9091,3,13.3333
SR Watson,398,42,20,306,3,0,130.065,17,23.4118
RA Jadeja,106,7,4,84,0,0,126.19,2,53
S Dhawan,505,62,10,367,5,0,137.602,14,36.0714
RV Uthappa,271,26,10,236,1,0,114.83,8,33.875
Harbhajan Singh,1,0,0,3,0,0,33.3333,1,1
DS Kulkarni,5,1,0,3,0,0,166.667,1,5
RG Sharma,381,47,10,296,2,0,128.716,13,29.3077
WP Saha,61,8,1,36,0,0,169.444,4,15.25
DJ Bravo,80,6,3,64,0,0,125,5,16
AM Rahane,393,45,9,282,1,1,139.362,13,30.2308
KD Karthik,203,17,12,133,1,0,152.632,8,25.375
MK Pandey,273,26,4,215,2,0,126.977,8,34.125
AB de Villiers,432,29,26,278,5,0,155.396,9,48
A Mishra,21,2,0,23,0,0,91.3043,2,10.5
CH Gayle,490,45,34,313,4,0,156.549,12,40.8333
M Vijay,64,6,1,60,0,0,106.667,2,32
DA Warner,692,57,21,471,8,1,146.921,12,57.6667
R Ashwin,42,3,3,27,0,0,155.556,5,8.4
AT Rayudu,282,20,7,296,1,0,95.2703,12,23.5
KA Pollard,269,14,21,166,1,0,162.048,8,33.625
UT Yadav,25,3,1,24,0,0,104.167,1,25
Mandeep Singh,165,10,4,120,0,0,137.5,4,41.25
KM Jadhav,162,19,3,163,1,0,99.3865,9,18
SM Curran,95,13,3,55,1,0,172.727,4,23.75
F du Plessis,396,36,15,318,3,0,124.528,11,36
DL Chahar,7,1,0,9,0,0,77.7778,2,3.5
Sandeep Sharma,6,1,0,3,0,0,200,1,6
